item_name,quantity,unit_price,category
Shampoo 1L,35,350,Beauty Services
Conditioner 1L,34,400,Beauty Services
Hair Color Kit,78,250,Beauty Services
Wax Strips Pack,48,180,Beauty Services
Facial Kit,64,450,Beauty Services
Razor Blades Box,59,120,Beauty Services
Nail Polish Set,95,300,Beauty Services
Hair Serum 200ml,23,280,Beauty Services
Threading Thread Roll,24,80,Beauty Services
Towels Pack,51,600,Beauty Services
Shampoo 1L,88,350,Beauty Services
Conditioner 1L,72,400,Beauty Services
Hair Color Kit,93,250,Beauty Services
Wax Strips Pack,30,180,Beauty Services
Facial Kit,76,450,Beauty Services
Razor Blades Box,25,120,Beauty Services
Nail Polish Set,83,300,Beauty Services
Hair Serum 200ml,71,280,Beauty Services
Threading Thread Roll,37,80,Beauty Services
Towels Pack,81,600,Beauty Services
Shampoo 1L,83,350,Beauty Services
Conditioner 1L,12,400,Beauty Services
Hair Color Kit,13,250,Beauty Services
Wax Strips Pack,64,180,Beauty Services
Facial Kit,21,450,Beauty Services
Razor Blades Box,23,120,Beauty Services
Nail Polish Set,47,300,Beauty Services
Hair Serum 200ml,92,280,Beauty Services
Threading Thread Roll,77,80,Beauty Services
Towels Pack,97,600,Beauty Services
Shampoo 1L,40,350,Beauty Services
Conditioner 1L,17,400,Beauty Services
Hair Color Kit,24,250,Beauty Services
Wax Strips Pack,76,180,Beauty Services
Facial Kit,46,450,Beauty Services
Razor Blades Box,30,120,Beauty Services
Nail Polish Set,11,300,Beauty Services
Hair Serum 200ml,48,280,Beauty Services
Threading Thread Roll,12,80,Beauty Services
Towels Pack,87,600,Beauty Services
Shampoo 1L,45,350,Beauty Services
Conditioner 1L,42,400,Beauty Services
Hair Color Kit,60,250,Beauty Services
Wax Strips Pack,69,180,Beauty Services
Facial Kit,96,450,Beauty Services
Razor Blades Box,22,120,Beauty Services
Nail Polish Set,71,300,Beauty Services
Hair Serum 200ml,72,280,Beauty Services
Threading Thread Roll,15,80,Beauty Services
Towels Pack,22,600,Beauty Services
